,Campanhas de Doação - em andamento (mínimo 10 mil reais mobilizados),,,,,,,,,,
,Campanhas,Organizador (a) / Beneficiário (a),Cidade,Estado,Valor Doado,in Dollars,Doadores,Referência,Observação,,
92,Colabore com os hospitais ligados à UFMG,Hospitais UFMG,Belo Horizonte,MG,"R$ 4.987.820,20","$ 959.196,19",1839,https://evoe.cc/colabore-hospitais-ufmg,,,
93,Combate ao Covid -19 para famílias carentes,Bem Gasto e Associação Criança Brasil,São Paulo,MG,"R$ 10.920,00","$ 2.100,00",56,https://www.vakinha.com.br/vaquinha/bem-gasto-contra-o-covid-19,,,
94,CombateCovid Fundaçào Amor Horizontal,Fundação Amor Horizontal,São Paulo,SP,"R$ 972.812,32","$ 187.079,29",0,https://combatecovid.org/fundacao-amor-horizontal,,,
95,CombateCovid Morro do Papagaio,Morro do Papagaio,Belo Horizonte,MG,"R$ 42.289,90","$ 8.132,67",0,https://combatecovid.org/morro-do-papagaio,,,
96,Comida com Amor no COVID19,Comida com Amor,Rio de Janeiro,RJ,"R$ 46.854,02","$ 9.010,39",393,https://www.vakinha.com.br/vaquinha/comida-com-amor-no-covid19,,,
97,Compartilhe Privilégios,Recado Sociambiental,São Paulo,SP,"R$ 27.365,49","$ 5.262,59",170,https://www.vakinha.com.br/vaquinha/compartilhe-privilegios,,,
98,Complexo da Maré contra o Coronavírus,Julho Negro,Rio de Janeiro,RJ,"R$ 71.703,20","$ 13.789,08",528,https://www.vakinha.com.br/vaquinha/complexo-da-mare-contra-o-coronavirus,,,
99,Comprar E.P.I / equipamentos de ventilação para o Hospital Janduy Carneiro de Patos,Hospital Janduy Carneiro de Patos,Patos,PB,"R$ 23.164,17","$ 4.454,65",256,https://www.vakinha.com.br/vaquinha/comprar-equipamentos-de-ventilacao-mecanica-para-o-hospital-janduy-carneiro-de-patos-pb,,,
100,Conexão Positiva,Centro,Ribeirão Preto,SP,"R$ 36.356,00","$ 6.991,54",171,https://sharity.com.br/conexao-positiva-2,,,
101,Corona no Paredão Fome Não,Gerando Falcões,São Paulo,SP,"R$ 11.205.550,00","$ 2.154.913,46",18000,https://gerandofalcoes.com/coronanoparedao,Descontado o valor da doação da Península Participações e BR Malls do BEm,e,https://www.instagram.com/tv/CB-1_5Ih75h/?utm_source=ig_web_copy_link
102,Corrente de amor pelo SUS,Patty Terrivel,São Paulo,SP,"R$ 121.664,74","$ 23.397,07",1005,https://www.vakinha.com.br/vaquinha/confeccao-de-mascaras-face-shield,,,
103,CORRENTE DO BEM CONTRA O CORONAVIRUS,Amigos do Bem,Brasília,DF,"R$ 16.299,30","$ 3.134,48",29,https://www.vakinha.com.br/vaquinha/corrente-do-bem-contra-o-coronavirus,,,
104,Costurando Solidariedade,Rede Design Possível,São Paulo,SP,"R$ 19.810,23","$ 3.809,66",178,https://www.vakinha.com.br/vaquinha/costurando-solidariedade,,,
105,COVID-19: Kits-emergência para famílias nas periferias do Recife,Recife de Luta,Recife,PE,"R$ 130.890,00","$ 25.171,15",983,https://www.vakinha.com.br/vaquinha/covid-19-kits-emergencia-para-familias-nas-periferias-do-recife,,,
106, COVID-19 Maracaipe PE Campanha de alimento para as Marisqueiras,TPM Todas Para o Mar,Maracaípe,PE,"R$ 20.170,85","$ 3.879,01",230,https://www.vakinha.com.br/vaquinha/campanha-de-alimentos-para-as-mulheres-da-baia-de-maracaipe,,,
107,COVID-19: Precisamos da sua Ajuda,Instituto Ronald McDonald,Rio de Janeiro,RJ,"R$ 47.102,25","$ 9.058,13",173,https://institutoronald.doareacao.com.br/campanhas/campanha.html?id=93,,,
108,COVID-19 – PRODUÇÃO/DOAÇÃO MÁSCARAS PROTETORAS ,Atelie Setia Comunicação Visual,São Paulo,SP,"R$ 17.308,84","$ 3.328,62",215,https://www.vakinha.com.br/vaquinha/covid-19-producao-doacao-mascaras-protetoras,,,
109,CUFA Espírito Santo contra o COVID-19 nas periferias,CUFA ES,Vitória,ES,"R$ 12.973,00","$ 2.494,81",109,https://www.vakinha.com.br/vaquinha/cufa-espirito-santo-contra-o-covid-19-nas-periferias,,,
110,Dê mais cor à vida das idosas do Abrigo,Abrigo dos Velhinhos Frederico Ozanam,São Paulo,SP,"R$ 13.502,57","$ 2.596,65",92,https://www.kickante.com.br/campanhas/mais-cor-vida-das-idosas-do-abrigo,,,
